epoch,lr,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken,val_conf_mat
0,1e-05,0.9707,0.6884,78.11,86.52,63.79,1.85,"[2860, 15, 69, 16, 2871, 75, 605, 636, 3791]"
1,9.755282581475769e-06,0.5992,0.4368,82.13,88.55,32.04,1.77,"[2862, 11, 71, 20, 2834, 108, 544, 446, 4042]"
2,9.045084971874738e-06,0.4847,0.3466,83.78,89.76,32.38,1.77,"[2860, 12, 72, 18, 2819, 125, 495, 349, 4188]"
3,7.938926261462366e-06,0.4321,0.2754,84.78,91.28,31.41,1.75,"[2835, 13, 96, 12, 2823, 127, 352, 313, 4367]"
4,6.545084971874738e-06,0.3992,0.2662,85.54,91.41,30.98,1.74,"[2847, 12, 85, 14, 2825, 123, 347, 319, 4366]"
5,5e-06,0.386,0.2531,85.84,91.42,31.08,1.73,"[2855, 11, 78, 14, 2827, 121, 368, 307, 4357]"
6,3.4549150281252635e-06,0.3754,0.2536,86.09,91.41,31.54,1.68,"[2865, 11, 68, 12, 2851, 99, 378, 332, 4322]"
7,2.061073738537635e-06,0.3698,0.2369,86.06,92.0,30.79,1.73,"[2856, 11, 77, 14, 2825, 123, 309, 308, 4415]"
8,9.549150281252633e-07,0.3622,0.2435,86.34,91.99,30.68,1.72,"[2854, 12, 78, 12, 2855, 95, 308, 333, 4391]"
9,2.4471741852423233e-07,0.3648,0.2372,86.35,92.07,31.5,1.75,"[2847, 11, 86, 12, 2851, 99, 298, 326, 4408]"
10,0.0,0.3588,0.2341,86.46,91.75,31.81,1.72,"[2845, 12, 87, 12, 2829, 121, 321, 314, 4397]"
11,2.447174185242324e-07,0.36,0.2408,86.41,91.71,31.1,1.71,"[2858, 10, 76, 18, 2834, 110, 353, 308, 4371]"
12,9.549150281252667e-07,0.3646,0.2337,86.3,91.79,33.27,1.79,"[2848, 12, 84, 12, 2840, 110, 333, 313, 4386]"
13,2.0610737385376434e-06,0.3582,0.2345,86.68,91.89,31.17,1.75,"[2858, 10, 76, 16, 2825, 121, 348, 286, 4398]"
14,3.4549150281252788e-06,0.351,0.2182,86.82,92.69,31.93,1.79,"[2847, 10, 87, 12, 2840, 110, 269, 284, 4479]"
15,5.0000000000000224e-06,0.3428,0.2174,87.02,92.83,31.22,1.79,"[2854, 13, 77, 12, 2851, 99, 261, 296, 4475]"
16,6.5450849718747665e-06,0.3396,0.2223,87.1,91.85,30.95,1.81,"[2873, 11, 60, 12, 2853, 97, 389, 293, 4350]"
17,7.938926261462402e-06,0.3226,0.2076,87.67,92.42,31.18,1.75,"[2864, 10, 70, 12, 2849, 101, 329, 282, 4421]"
18,9.04508497187478e-06,0.3167,0.2054,87.89,92.62,31.71,1.78,"[2859, 15, 70, 10, 2866, 86, 307, 294, 4431]"
19,9.755282581475815e-06,0.3043,0.1969,88.5,92.97,31.22,1.83,"[2865, 14, 65, 10, 2866, 86, 294, 277, 4461]"
20,1.0000000000000047e-05,0.2996,0.1807,88.75,93.15,31.51,1.73,"[2853, 14, 77, 6, 2870, 86, 272, 272, 4488]"
21,9.755282581475813e-06,0.291,0.1929,89.06,92.92,38.53,1.78,"[2875, 12, 57, 10, 2866, 86, 297, 290, 4445]"
22,9.045084971874782e-06,0.2825,0.1732,89.29,93.42,39.01,1.86,"[2862, 12, 70, 12, 2860, 90, 267, 247, 4518]"
23,7.938926261462404e-06,0.2773,0.1888,89.5,93.12,39.2,1.76,"[2885, 11, 48, 12, 2864, 86, 298, 276, 4458]"
24,6.545084971874768e-06,0.273,0.1662,89.69,93.53,34.73,1.77,"[2860, 12, 72, 12, 2858, 92, 265, 233, 4534]"
25,5.000000000000024e-06,0.2741,0.1631,89.63,93.99,33.17,1.83,"[2865, 10, 69, 12, 2858, 92, 256, 196, 4580]"
26,3.4549150281252804e-06,0.271,0.1698,89.85,93.62,32.27,1.85,"[2881, 9, 54, 12, 2860, 90, 285, 226, 4521]"
27,2.061073738537645e-06,0.2666,0.1678,89.91,93.69,32.35,1.88,"[2880, 11, 53, 12, 2860, 90, 269, 233, 4530]"
28,9.549150281252684e-07,0.2692,0.1679,89.78,93.55,31.28,1.73,"[2870, 11, 63, 12, 2860, 90, 267, 241, 4524]"
29,2.447174185242341e-07,0.2681,0.1607,89.88,93.99,31.49,1.77,"[2861, 12, 71, 12, 2854, 96, 245, 199, 4588]"
30,0.0,0.2673,0.1673,89.74,93.65,30.83,1.83,"[2875, 10, 59, 10, 2862, 90, 272, 231, 4529]"
31,2.447174185242324e-07,0.2664,0.1706,89.97,93.63,30.8,1.77,"[2881, 12, 51, 10, 2866, 86, 262, 254, 4516]"
32,9.54915028125264e-07,0.2642,0.172,89.99,93.49,31.86,1.73,"[2881, 9, 54, 12, 2860, 90, 278, 247, 4507]"
33,2.0610737385376375e-06,0.2675,0.1687,89.94,93.49,30.35,1.73,"[2874, 11, 59, 12, 2862, 88, 275, 245, 4512]"
34,3.4549150281252686e-06,0.2669,0.1642,90.02,93.91,31.02,1.74,"[2874, 11, 59, 10, 2862, 90, 268, 206, 4558]"
35,5.00000000000001e-06,0.2656,0.1703,90.01,93.52,31.32,1.73,"[2880, 11, 53, 12, 2864, 86, 276, 249, 4507]"
36,6.545084971874751e-06,0.2612,0.1621,90.05,94.01,31.15,1.75,"[2874, 11, 59, 10, 2860, 92, 262, 199, 4571]"
37,7.938926261462385e-06,0.2542,0.1549,90.41,94.2,32.17,1.75,"[2873, 10, 61, 10, 2871, 81, 263, 188, 4581]"
38,9.045084971874759e-06,0.2491,0.1565,90.59,94.06,30.46,1.74,"[2879, 9, 56, 10, 2877, 75, 267, 210, 4555]"
39,9.755282581475793e-06,0.248,0.151,90.71,94.33,31.73,1.78,"[2877, 11, 56, 8, 2864, 90, 244, 191, 4597]"
40,1.0000000000000026e-05,0.2438,0.1512,90.82,94.46,31.48,1.77,"[2873, 12, 59, 10, 2873, 79, 242, 184, 4606]"
41,9.755282581475798e-06,0.2412,0.146,90.88,94.55,31.54,1.81,"[2873, 10, 61, 10, 2871, 81, 251, 163, 4618]"
42,9.045084971874762e-06,0.2399,0.1437,90.83,94.54,30.8,1.72,"[2874, 11, 59, 10, 2858, 94, 239, 165, 4628]"
43,7.938926261462388e-06,0.2327,0.143,91.2,94.57,32.19,1.75,"[2877, 11, 56, 10, 2849, 103, 239, 156, 4637]"
44,6.545084971874766e-06,0.2317,0.144,91.27,94.48,31.24,1.74,"[2873, 16, 55, 10, 2860, 92, 246, 166, 4620]"
45,5.000000000000016e-06,0.2318,0.1417,91.25,94.56,31.59,1.79,"[2876, 12, 56, 10, 2860, 92, 241, 164, 4627]"
